state_name,total_companies,opportunity_score,density,competitive_intensity,quadrant,volume_norm,quality_volume_score,entry_score,entry_score_norm,entry_rank
BAJA CALIFORNIA,1037,0.9525,662,0.1249,Priority,0.4617,0.8053,0.7304,1.0,1
NUEVO LEON,1756,1.0,1283,0.2812,Contested,0.659,0.8977,0.729,0.9981,2
QUERETARO,802,0.8898,601,0.103,Priority,0.3654,0.7325,0.6707,0.9173,3
COAHUILA DE ZARAGOZA,968,0.8681,524,0.1668,Priority,0.4359,0.7384,0.6383,0.8725,4
CHIHUAHUA,1017,0.8446,540,0.1538,Priority,0.4544,0.7275,0.6352,0.8682,5
SONORA,1148,0.8163,593,0.1716,Priority,0.4998,0.7213,0.6183,0.8448,6
JALISCO,3227,0.7646,1768,0.3183,Contested,0.8871,0.8014,0.6104,0.8338,7
AGUASCALIENTES,532,0.8943,317,0.2379,Contested,0.2118,0.6896,0.5469,0.7459,8
CIUDAD DE MEXICO,3416,0.858,4015,0.546,Contested,0.9084,0.8731,0.5455,0.744,9
COLIMA,322,0.7628,144,0.0405,Priority,0.024,0.5412,0.5169,0.7044,10
BAJA CALIFORNIA SUR,302,0.8977,177,0.2048,Contested,0.0,0.6284,0.5055,0.6886,11
SAN LUIS POTOSI,905,0.7346,402,0.2268,Contested,0.4107,0.6374,0.5013,0.6828,12
QUINTANA ROO,414,0.7321,337,0.1286,Priority,0.1179,0.5478,0.4706,0.6403,13
GUANAJUATO,2528,0.3998,966,0.2468,Avoid,0.7956,0.5185,0.3704,0.5015,14
SINALOA,989,0.4719,501,0.1638,Priority,0.4439,0.4635,0.3652,0.4943,15
CAMPECHE,349,0.6406,199,0.2197,Contested,0.0541,0.4646,0.3328,0.4495,16
TAMAULIPAS,1011,0.4072,423,0.1826,Contested,0.4522,0.4207,0.3111,0.4194,17
VERACRUZ DE IGNACIO DE LA LLAVE,2253,0.2073,5,0.1326,Monitor,0.7524,0.3708,0.2912,0.3919,18
DURANGO,466,0.3293,241,0.0413,Monitor,0.1622,0.2792,0.2544,0.3409,19
NAYARIT,433,0.3501,154,0.1053,Monitor,0.1347,0.2855,0.2223,0.2965,20
YUCATAN,1267,0.1892,4,0.1242,Monitor,0.5367,0.2934,0.2189,0.2917,21
CHIAPAS,1468,0.1228,581,0.155,Monitor,0.5919,0.2635,0.1705,0.2247,22
MICHOACAN DE OCAMPO,2152,0.1553,791,0.276,Avoid,0.7353,0.3293,0.1637,0.2153,23
PUEBLA,2823,0.1853,1200,0.3635,Avoid,0.837,0.3808,0.1627,0.2139,24
MEXICO,4361,0.1493,2226,0.4371,Avoid,1.0,0.4045,0.1422,0.1855,25
TABASCO,545,0.1704,318,0.1303,Monitor,0.2208,0.1855,0.1073,0.1372,26
TLAXCALA,786,0.0636,191,0.1039,Monitor,0.3579,0.1519,0.0896,0.1127,27
GUERRERO,1348,0.0,315,0.1421,Monitor,0.56,0.168,0.0827,0.1032,28
MORELOS,764,0.2163,338,0.3117,Avoid,0.3473,0.2556,0.0686,0.0836,29
HIDALGO,978,0.1722,447,0.3122,Avoid,0.4398,0.2525,0.0652,0.0789,30
OAXACA,1841,0.0033,610,0.296,Avoid,0.6768,0.2054,0.0278,0.0271,31
ZACATECAS,526,0.2074,1,0.332,Avoid,0.2075,0.2074,0.0082,0.0,32
