state_name,total_companies,weighted_sum,raw_opportunity_score,opportunity_score
NUEVO LEON   ,1756,1025.97,0.5842653758542141,1.0
BAJA CALIFORNIA,1037,595.38,0.5741369334619093,0.9525
BAJA CALIFORNIA SUR,302,169.86,0.5624503311258279,0.8977
AGUASCALIENTES,532,298.84000000000003,0.5617293233082707,0.8943
QUERETARO                               ,802,449.75,0.560785536159601,0.8898
COAHUILA DE ZARAGOZA,968,538.35,0.5561466942148761,0.8681
CIUDAD DE MEXICO,3416,1892.48,0.5540046838407494,0.858
CHIHUAHUA,1017,560.52,0.551150442477876,0.8446
SONORA,1148,625.79,0.5451132404181185,0.8163
JALISCO,3227,1723.4700000000003,0.5340780911062908,0.7646
COLIMA,322,171.85,0.533695652173913,0.7628
SAN LUIS POTOSI        ,905,477.56999999999994,0.5277016574585635,0.7346
QUINTANA ROO,414,218.24,0.5271497584541063,0.7321
CAMPECHE,349,177.17,0.5076504297994269,0.6406
SINALOA,989,466.51,0.47169868554095046,0.4719
TAMAULIPAS,1011,462.95,0.4579129574678536,0.4072
GUANAJUATO,2528,1153.5700000000002,0.4563172468354431,0.3998
NAYARIT,433,193.0,0.4457274826789838,0.3501
DURANGO,466,205.65,0.4413090128755365,0.3293
MORELOS,764,318.75,0.41721204188481675,0.2163
ZACATECAS,526,218.45,0.4153041825095057,0.2074
VERACRUZ DE IGNACIO DE LA LLAVE,2253,935.65,0.41529072347980467,0.2073
YUCATAN,1267,521.3,0.4114443567482241,0.1892
PUEBLA,2823,1159.15,0.41060928090683674,0.1853
HIDALGO,978,398.85,0.4078220858895706,0.1722
TABASCO,545,222.05,0.4074311926605505,0.1704
MICHOACAN DE OCAMPO,2152,869.8499999999999,0.4042053903345724,0.1553
MEXICO                      ,4361,1757.1999999999998,0.4029351066269204,0.1493
CHIAPAS,1468,583.2,0.39727520435967306,0.1228
TLAXCALA,786,302.35,0.3846692111959288,0.0636
OAXACA,1841,684.5,0.37180879956545354,0.0033
GUERRERO,1348,500.25,0.3711053412462908,0.0
